STT,Quan,Duong,Link,Lng,Lat
0,Quận 2,Nguyễn Thị Định - Đường D (Lữ 125),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=583f969161cfea0012cf68f7,106.7814231,10.76468237
1,Quận Bình Tân,Võ Văn Kiệt - An Dương Vương 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481299,106.6203511,10.72656719
2,Quận Bình Thạnh,Phan Đăng Lưu - Đinh Tiên Hoàng 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587ee0ecb807da0011e33d50,106.6964829,10.80199705
3,Quận 5,Võ Văn Kiệt - Huỳnh Mẫn Đạt 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48128f,106.6771978,10.75196028
4,Quận 2,Đồng Văn Cống - Mỹ Thủy 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c4812a2,106.7755866,10.7701157
5,Quận Phú Nhuận,Nguyễn Văn Trỗi - Trần Huy Liệu,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58b571c817139d0010f35d5d,106.6779488,10.79447231
6,Quận 7,Nguyễn Văn Linh - Cầu Ông Lớn 2 làn,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587447b4b807da0011e33ca0,106.6902065,10.72856477
7,Quận Tân Bình,Phổ Quang - Hoàng Minh Giám,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58df4d95dc195800111e04b9,106.6728795,10.80796192
8,Huyện Nhà Bè,Cầu Long Kiểng (Long An),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c6552a6bfb5001194009a,106.7023516,10.68858954
9,Quận Thủ Đức,Quốc lộ 1 - KCX Linh Trung 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=586e28a0f9fab7001111b0b3,106.7687416,10.87208194
10,Quận 1,Nguyễn Huệ 36,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=584e8d1f61cfea0012cf699e,106.7022926,10.7752433
11,Quận 5,Võ Văn Kiệt - Nguyễn Tri Phương 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481297,106.6700792,10.75036866
12,Quận 5,Võ Văn Kiệt - Cầu Chữ Y 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5822adbbedeb6c0012a2d65f,106.6836727,10.75194447
13,Quận Bình Thạnh,Điện Biên Phủ - D1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587c79e9b807da0011e33d3d,106.7178977,10.79962583
14,Quận Tân Bình,Cộng Hòa - Út Tịch 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5874769eb807da0011e33cec,106.6577572,10.80010535
15,Quận Phú Nhuận,Hồng Hà - Hoàng Minh Giám,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df8108c062921100c143db,106.6740221,10.80903157
16,Quận Tân Bình,Cộng Hòa - Út Tịch 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587476e3b807da0011e33cee,106.6578537,10.80103803
17,Quận 5,Võ Văn Kiệt - Hải Thượng Lãn Ông 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481293,106.6632342,10.74997866
18,Quận Gò Vấp,Ngã sáu Nguyễn Thái Sơn 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df84abc062921100c143e5,106.6792363,10.81422173
19,Quận 1,Võ Văn Kiệt - Nguyễn Văn Cừ 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c48128b,106.6869128,10.75432134
20,Quận 3,Nam Kỳ Khởi Nghĩa - Trần Quốc Toản,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58e49ff8d9d6200011e0b9d4,106.6872239,10.78631502
21,Quận 7,Nguyễn Hữu Thọ - Nguyễn Thị Thập 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56df833ac062921100c143e1,106.701048,10.7403708
22,Quận 2,Đường hầm - Trạm Thu Phí,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56f8e796025e9511002786cf,106.717844,10.77151751
23,Quận 2,Mai Chí Thọ - Đường dẫn cầu Thủ Thiêm 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5822b5ededeb6c0012a2d66a,106.7225862,10.77321441
24,Quận Thủ Đức,Cầu vượt Sóng Thần 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58746488b807da0011e33cd7,106.748507,10.87430509
25,Quận Thủ Đức,Quốc lộ 1 - ĐH Nông Lâm 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58746122b807da0011e33cc5,106.7879409,10.86722995
26,Quận 12,Trường Chinh - Phan Văn Hớn (HM-Q12),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58e49783d9d6200011e0b9ce,106.6247606,10.82747335
27,Huyện Bình Chánh,Quốc lộ 1-Đinh Đức Thiện 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d7bbf2c1e33c00112b3216,106.5707946,10.66562669
28,Quận Thủ Đức,Quốc lộ 1 - Bình Đường,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58746295b807da0011e33ccb,106.7589623,10.87522173
29,Quận 7,HTPhat-NVLinh 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=585b2baec3f96200127dc508,106.7283314,10.75254527
30,Huyện Nhà Bè,Cầu Long Kiểng (HCM),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c662ba6bfb5001194009c,106.7024589,10.68913776
31,Quận Phú Nhuận,Phan Đăng Lưu - Phan Xích Long,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587ee2aeb807da0011e33d52,106.6832328,10.80203921
32,Quận Thủ Đức,Cầu vượt Sóng Thần 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=5874644cb807da0011e33cd5,106.7509854,10.87580649
33,Huyện Nhà Bè,Cầu Cái Tâm (Long An),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c6b71a6bfb500119400a5,106.5772319,10.69450393
34,Quận 12,Tỉnh lộ 15 - Đông Bắc,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589add0fb3bf7600110283ae,106.6233391,10.85561331
35,Quận Phú Nhuận,Ngã 4 Phú Nhuận 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58ad6961bd82540010390be5,106.6803789,10.7990462
36,Huyện Bình Chánh,Bùi Thanh Khiết - Chợ Đệm 2,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d7b756c1e33c00112b320d,106.5756601,10.68606982
37,Quận Tân Bình,Yên Thế - Bạch Đằng,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58df4e22dc195800111e04bb,106.6685933,10.81416377
38,Huyện Bình Chánh,Quốc lộ 1 - Nguyễn Văn Linh,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58d7b3e8c1e33c00112b3207,106.5953636,10.69014985
39,Quận 2,Cầu Sài Gòn - Trần Não,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=589d0bceb3bf7600110283d6,106.7295277,10.79879326
40,Quận 2,Mai Chí Thọ - Đồng Văn Cống 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=58175ac4edeb6c0012a2d5bb,106.7496067,10.7878801
41,Quận 1,Võ Văn Kiệt - Cầu Ông Lãnh 1,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=56de42f611f398ec0c481288,106.6976523,10.76379173
42,Quận Bình Thạnh,Đường Nguyễn Hữu Cảnh - Cầu Thủ Thiêm,http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=587470c2b807da0011e33ce4,106.7150974,10.78920276
43,Huyện Nhà Bè,Cầu Rạch Dơi (HCM),http://giaothong.hochiminhcity.gov.vn/render/ImageHandler.ashx?id=591c6d3ba6bfb500119400ac,106.6874385,10.65620067
